workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
7zip	G_MEMSET	initial	first	p0,i8,i64	s8@64@not_atomic@not_atomic	Libcall	0	-	8	0.001919
7zip	G_UDIV	generated	first	i32	-	Legal	0	-	8	0.001919
7zip	G_UREM	initial	first	i32	-	Lower	0	-	8	0.001919
7zip	G_ZEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	8	0.001919
7zip	G_OR	initial	first	i1	-	WidenScalar	0	i32	7	0.001679
7zip	G_SUB	generated	first	i64	-	Legal	0	-	7	0.001679
7zip	G_TRUNC	initial	first	i8,i64	-	Legal	0	-	7	0.001679
7zip	G_UADDO	initial	first	i64,i1	-	WidenScalar	1	i32	7	0.001679
7zip	G_UADDO	initial	revisit	i64,i32	-	Legal	0	-	7	0.001679
7zip	G_XOR	initial	first	i64	-	Legal	0	-	7	0.001679
7zip	G_ANYEXT	generated	first	i16,i8	-	Legal	0	-	6	0.001439
7zip	G_LOAD	initial	first	i64,p0	s64@8@not_atomic@not_atomic	Legal	0	-	6	0.001439
7zip	G_LOAD	initial	first	i8,p0	s8@16@not_atomic@not_atomic	Legal	0	-	6	0.001439
7zip	G_MUL	generated	first	i64	-	Legal	0	-	6	0.001439
7zip	G_SELECT	initial	revisit	p0,i32	-	Legal	0	-	6	0.001439
7zip	G_SEXTLOAD	initial	first	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	6	0.001439
7zip	G_STORE	initial	first	i8,p0	s8@16@not_atomic@not_atomic	Legal	0	-	6	0.001439
7zip	G_LOAD	initial	first	i16,p0	i16@64@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_LOAD	initial	first	i32,p0	i8@64@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_LOAD	initial	first	i8,p0	s8@32@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_MEMSET	initial	first	p0,i8,i64	s8@8@not_atomic@not_atomic	Libcall	0	-	5	0.001199
7zip	G_STORE	initial	first	i16,p0	s16@32@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_STORE	initial	first	i64,p0	s64@8@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_STORE	initial	first	i8,p0	s8@32@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_STORE	initial	revisit	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_ZEXTLOAD	initial	first	i32,p0	s16@32@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_ZEXTLOAD	initial	first	i64,p0	i16@64@not_atomic@not_atomic	Legal	0	-	5	0.001199
7zip	G_ANYEXT	generated	first	i64,i32	-	Legal	0	-	4	0.000960
7zip	G_ASHR	initial	first	i64,i64	-	Legal	0	-	4	0.000960
7zip	G_BRJT	initial	first	p0,i64	-	Legal	0	-	4	0.000960
7zip	G_INTTOPTR	initial	first	p0,i64	-	Legal	0	-	4	0.000960
7zip	G_JUMP_TABLE	initial	first	p0	-	Legal	0	-	4	0.000960
7zip	G_LOAD	initial	first	f128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_LOAD	initial	first	i16,p0	s16@32@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_LOAD	initial	first	i32,p0	i16@32@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_SEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_STORE	initial	first	f128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_STORE	initial	first	i16,p0	s16@16@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_STORE	initial	first	i32,p0	i32@16@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_STORE	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_STORE	initial	first	i64,p0	i64@8@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_ZEXTLOAD	initial	first	i64,p0	i8@16@not_atomic@not_atomic	Legal	0	-	4	0.000960
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@32@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	3	0.000720
7zip	G_MEMSET	initial	first	p0,i8,i64	s8@128@not_atomic@not_atomic	Libcall	0	-	3	0.000720
7zip	G_PHI	initial	first	i8	-	WidenScalar	0	i16	3	0.000720
7zip	G_SDIV	generated	first	i64	-	Legal	0	-	3	0.000720
7zip	G_SELECT	initial	first	i1,i1	-	WidenScalar	0	i32	3	0.000720
7zip	G_SELECT	initial	first	p0,i1	-	WidenScalar	1	i32	3	0.000720
7zip	G_SREM	initial	first	i64	-	Lower	0	-	3	0.000720
7zip	G_TRUNC	initial	first	i8,i16	-	Legal	0	-	3	0.000720
7zip	G_UDIV	generated	first	i64	-	Legal	0	-	3	0.000720
7zip	G_UREM	initial	first	i64	-	Lower	0	-	3	0.000720
7zip	G_ZEXTLOAD	initial	first	i16,p0	i8@8@not_atomic@not_atomic	WidenScalar	0	i32	3	0.000720
7zip	G_ZEXTLOAD	initial	first	i32,p0	s8@8@not_atomic@not_atomic	Legal	0	-	3	0.000720
7zip	G_ZEXTLOAD	initial	revisit	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	3	0.000720
7zip	G_AND	initial	revisit	i32	-	Legal	0	-	2	0.000480
7zip	G_ANYEXT	generated	first	i64,i16	-	Legal	0	-	2	0.000480
7zip	G_BUILD_VECTOR	initial	first	<2 x i64>,i64	-	Legal	0	-	2	0.000480
7zip	G_LOAD	initial	first	i16,p0	s16@16@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_LOAD	initial	first	i32,p0	i8@128@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_LOAD	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@16@not_atomic@not_atomic,s8@16@not_atomic@not_atomic	Libcall	0	-	2	0.000480
7zip	G_PHI	initial	revisit	i32	-	Legal	0	-	2	0.000480
7zip	G_STORE	initial	first	<2 x i64>,p0	<2 x i64>@64@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_STORE	initial	first	<2 x i64>,p0	<2 x i64>@128@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_ZEXTLOAD	initial	first	i64,p0	i8@32@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_ZEXTLOAD	initial	first	i64,p0	i8@64@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_ZEXTLOAD	initial	first	i64,p0	s8@64@not_atomic@not_atomic	Legal	0	-	2	0.000480
7zip	G_ADD	initial	first	i16	-	WidenScalar	0	i32	1	0.000240
7zip	G_DYN_STACKALLOC	initial	first	p0,i64	-	Custom	0	-	1	0.000240
7zip	G_INTTOPTR	generated	first	p0,i64	-	Legal	0	-	1	0.000240
7zip	G_LOAD	initial	first	f128,p0	s128@16@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_LOAD	initial	first	i32,p0	i32@128@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_LOAD	initial	first	i32,p0	i8@32@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_LOAD	initial	first	i8,p0	s8@64@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@32@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@32@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_MEMCPY	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_MEMMOVE	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@32@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_MEMMOVE	initial	first	p0,p0,i64	s8@32@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	1	0.000240
7zip	G_PTRTOINT	generated	first	i64,p0	-	Legal	0	-	1	0.000240
7zip	G_SELECT	initial	first	i16,i1	-	WidenScalar	0	i32	1	0.000240
7zip	G_SEXTLOAD	initial	first	i64,p0	i16@64@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_SEXT_INREG	generated	first	i64	-	Legal	0	-	1	0.000240
7zip	G_STACKRESTORE	initial	first	p0	-	Lower	0	-	1	0.000240
7zip	G_STACKSAVE	initial	first	p0	-	Lower	0	-	1	0.000240
7zip	G_STORE	initial	first	f128,p0	s128@16@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_STORE	initial	first	f128,p0	s128@128@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_STORE	initial	first	i64,p0	s64@128@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_STORE	initial	first	i8,p0	s8@64@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_ZEXTLOAD	initial	first	i32,p0	s16@64@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_ZEXTLOAD	initial	first	i32,p0	s8@16@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_ZEXTLOAD	initial	first	i32,p0	s8@64@not_atomic@not_atomic	Legal	0	-	1	0.000240
7zip	G_ZEXTLOAD	initial	first	i64,p0	i16@32@not_atomic@not_atomic	Legal	0	-	1	0.000240
Bullet	G_FRAME_INDEX	initial	first	p0	-	Legal	0	-	56647	16.953581
Bullet	G_PTR_ADD	initial	first	p0,i64	-	Legal	0	-	37142	11.116033
Bullet	G_LOAD	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	33366	9.985934
Bullet	G_CONSTANT	initial	first	i64	-	Legal	0	-	26690	7.987909
Bullet	G_STORE	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	21123	6.321791
Bullet	G_BR	initial	first	-	-	Legal	0	-	20106	6.017418
Bullet	G_STORE	initial	first	p0,p0	p0@64@not_atomic@not_atomic	Legal	0	-	19693	5.893814
Bullet	G_LOAD	initial	first	f32,p0	f32@32@not_atomic@not_atomic	Legal	0	-	16368	4.898692
Bullet	G_BRCOND	initial	revisit	i32	-	Legal	0	-	11128	3.330440
Bullet	G_LOAD	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	9534	2.853380
Bullet	G_STORE	initial	first	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	7778	2.327836
Bullet	G_CONSTANT	initial	first	i32	-	Legal	0	-	6568	1.965702
Bullet	G_BRCOND	initial	first	i1	-	WidenScalar	0	i32	5728	1.714303
Bullet	G_INVOKE_REGION_START	initial	first	-	-	Legal	0	-	4235	1.267471
Bullet	G_ICMP	initial	revisit	i32,i32	-	Legal	0	-	3600	1.077425
Bullet	G_FCONSTANT	initial	first	f32	-	Legal	0	-	3052	0.913417
Bullet	G_ICMP	initial	first	i1,i32	-	WidenScalar	0	i32	2795	0.836501
Bullet	G_SHL	initial	first	i64,i64	-	Legal	0	-	2413	0.722174
Bullet	G_FMUL	initial	first	f32	-	Legal	0	-	2287	0.684464
Bullet	G_SEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	2245	0.671894
Bullet	G_ADD	initial	first	i32	-	Legal	0	-	2197	0.657529
Bullet	G_CONSTANT	generated	first	i32	-	Legal	0	-	1997	0.597672
Bullet	G_LOAD	initial	first	f128,p0	s128@32@not_atomic@not_atomic	Legal	0	-	1498	0.448328
Bullet	G_CONSTANT	initial	first	i8	-	Legal	0	-	1417	0.424086
Bullet	G_STORE	initial	first	f128,p0	s128@32@not_atomic@not_atomic	Legal	0	-	1365	0.408524
Bullet	G_CONSTANT	initial	first	p0	-	Legal	0	-	1345	0.402538
Bullet	G_FCMP	initial	first	i1,f32	-	WidenScalar	0	i32	1281	0.383384
Bullet	G_FCMP	initial	revisit	i32,f32	-	Legal	0	-	1281	0.383384
Bullet	G_FMA	initial	first	f32	-	Legal	0	-	1159	0.346871
Bullet	G_FADD	initial	first	f32	-	Legal	0	-	976	0.292102
Bullet	G_ICMP	initial	first	i1,p0	-	WidenScalar	0	i32	952	0.284919
Bullet	G_ICMP	initial	revisit	i32,p0	-	Legal	0	-	952	0.284919
Bullet	G_AND	generated	first	i32	-	Legal	0	-	929	0.278035
Bullet	G_PTRTOINT	initial	first	i32,p0	-	WidenScalar	0	i64	886	0.265166
Bullet	G_PTRTOINT	initial	revisit	i64,p0	-	Legal	0	-	886	0.265166
Bullet	G_TRUNC	generated	first	i32,i64	-	Legal	0	-	886	0.265166
Bullet	G_GLOBAL_VALUE	initial	first	p0	-	Custom	0	-	835	0.249903
Bullet	G_FSUB	initial	first	f32	-	Legal	0	-	817	0.244516
Bullet	G_FNEG	initial	first	f32	-	Legal	0	-	806	0.241223
Bullet	G_ICMP	initial	revisit	i1,i32	-	WidenScalar	0	i32	753	0.225361
Bullet	G_ICMP	initial	first	i1,i8	-	WidenScalar	1	i32	738	0.220872
Bullet	G_ZEXT	generated	first	i32,i8	-	Legal	0	-	723	0.216383
Bullet	G_STORE	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	604	0.180768
Bullet	G_LOAD	initial	first	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	549	0.164307
Bullet	G_LOAD	initial	first	f32,p0	f32@64@not_atomic@not_atomic	Legal	0	-	524	0.156825
Bullet	G_TRUNC	generated	first	i8,i32	-	Legal	0	-	516	0.154431
Bullet	G_CONSTANT	initial	first	i1	-	WidenScalar	0	i8	507	0.151737
Bullet	G_CONSTANT	initial	revisit	i8	-	Legal	0	-	507	0.151737
Bullet	G_FDIV	initial	first	f32	-	Legal	0	-	505	0.151139
Bullet	G_STORE	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	423	0.126597
Bullet	G_STORE	initial	first	p0,p0	p0@8@not_atomic@not_atomic	Legal	0	-	401	0.120013
Bullet	G_LOAD	initial	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	397	0.118816
Bullet	G_STORE	initial	first	f32,p0	f32@64@not_atomic@not_atomic	Legal	0	-	397	0.118816
Bullet	G_MUL	initial	first	i64	-	Legal	0	-	392	0.117320
Bullet	G_PHI	initial	first	p0	-	Legal	0	-	373	0.111633
Bullet	G_AND	generated	revisit	i32	-	Legal	0	-	355	0.106246
Bullet	G_SEXT	initial	first	i64,i32	-	Legal	0	-	344	0.102954
Bullet	G_STORE	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	341	0.102056
Bullet	G_STORE	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	341	0.102056
Bullet	G_AND	generated	first	i8	-	WidenScalar	0	i32	314	0.093975
Bullet	G_CONSTANT	generated	first	i8	-	Legal	0	-	304	0.090983
Bullet	G_LOAD	initial	first	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	266	0.079610
Bullet	G_STORE	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	243	0.072726
Bullet	G_STORE	initial	first	i1,p0	i1@8@not_atomic@not_atomic	WidenScalar	0	i8	243	0.072726
Bullet	G_STORE	initial	revisit	i8,p0	i1@8@not_atomic@not_atomic	Lower	0	-	243	0.072726
Bullet	G_LOAD	initial	first	f128,p0	s128@64@not_atomic@not_atomic	Legal	0	-	208	0.062251
Bullet	G_AND	initial	first	i32	-	Legal	0	-	203	0.060755
Bullet	G_ANYEXT	generated	first	i32,i8	-	Legal	0	-	196	0.058660
Bullet	G_CONSTANT	generated	first	i64	-	Legal	0	-	193	0.057762
Bullet	G_LOAD	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	191	0.057163
Bullet	G_ZEXTLOAD	initial	first	i64,p0	i32@32@not_atomic@not_atomic	Legal	0	-	183	0.054769
Bullet	G_SHL	initial	revisit	i32,i64	-	Legal	0	-	182	0.054470
Bullet	G_STORE	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	182	0.054470
Bullet	G_SHL	initial	first	i32,i32	-	Custom	0	-	175	0.052375
Bullet	G_MUL	initial	first	i32	-	Legal	0	-	173	0.051776
Bullet	G_AND	initial	revisit	i32	-	Legal	0	-	169	0.050579
Bullet	G_CONSTANT	generated	first	i16	-	Legal	0	-	168	0.050280
Bullet	G_STORE	initial	revisit	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	166	0.049681
Bullet	G_PHI	initial	first	f32	-	Legal	0	-	154	0.046090
Bullet	G_PHI	initial	first	i32	-	Legal	0	-	148	0.044294
Bullet	G_SELECT	initial	revisit	i32,i32	-	Legal	0	-	147	0.043995
Bullet	G_STORE	initial	first	i64,p0	i64@64@not_atomic@not_atomic	Legal	0	-	147	0.043995
Bullet	G_SITOFP	initial	first	f32,i32	-	Legal	0	-	144	0.043097
Bullet	G_OR	initial	revisit	i32	-	Legal	0	-	143	0.042798
Bullet	G_LOAD	initial	first	p0,p0	p0@128@not_atomic@not_atomic	Legal	0	-	133	0.039805
Bullet	G_AND	initial	first	i8	-	WidenScalar	0	i32	132	0.039506
Bullet	G_TRUNC	generated	first	i16,i32	-	Legal	0	-	126	0.037710
Bullet	G_ANYEXT	generated	first	i32,i16	-	Legal	0	-	121	0.036213
Bullet	G_PHI	initial	revisit	i16	-	Legal	0	-	115	0.034418
Bullet	G_STORE	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	113	0.033819
Bullet	G_ZEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	110	0.032921
Bullet	G_PHI	initial	first	i1	-	WidenScalar	0	i16	109	0.032622
Bullet	G_TRUNC	initial	first	i8,i32	-	Legal	0	-	109	0.032622
Bullet	G_LOAD	initial	first	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	108	0.032323
Bullet	G_PTRTOINT	initial	first	i64,p0	-	Legal	0	-	108	0.032323
Bullet	G_TRUNC	initial	first	i16,i32	-	Legal	0	-	108	0.032323
Bullet	G_LOAD	initial	first	i16,p0	i16@16@not_atomic@not_atomic	Legal	0	-	90	0.026936
Bullet	G_SUB	initial	first	i32	-	Legal	0	-	90	0.026936
Bullet	G_LOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	82	0.024541
Bullet	G_LOAD	generated	first	i8,p0	i8@8@not_atomic@not_atomic	Legal	0	-	79	0.023643
Bullet	G_LOAD	initial	first	i1,p0	i1@8@not_atomic@not_atomic	Lower	0	-	79	0.023643
Bullet	G_OR	initial	first	i8	-	WidenScalar	0	i32	71	0.021249
Bullet	G_SELECT	initial	first	i32,i1	-	WidenScalar	1	i32	71	0.021249
Bullet	G_FPEXT	initial	first	f64,f32	-	Legal	0	-	70	0.020950
Bullet	G_MUL	generated	first	i32	-	Legal	0	-	70	0.020950
Bullet	G_SUB	generated	first	i32	-	Legal	0	-	70	0.020950
Bullet	G_SDIV	generated	first	i32	-	Legal	0	-	69	0.020651
Bullet	G_SREM	initial	first	i32	-	Lower	0	-	69	0.020651
Bullet	G_CONSTANT	initial	first	i16	-	Legal	0	-	61	0.018256
Bullet	G_TRAP	initial	first	-	-	Legal	0	-	59	0.017658
Bullet	G_STORE	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	57	0.017059
Bullet	G_MEMCPY	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	56	0.016760
Bullet	G_SUB	initial	first	i64	-	Legal	0	-	54	0.016161
Bullet	G_TRUNC	initial	first	i32,i64	-	Legal	0	-	54	0.016161
Bullet	G_STORE	initial	first	i64,p0	s64@32@not_atomic@not_atomic	Legal	0	-	48	0.014366
Bullet	G_ZEXTLOAD	initial	first	i64,p0	i8@8@not_atomic@not_atomic	Legal	0	-	48	0.014366
Bullet	G_LOAD	initial	first	i64,p0	s64@32@not_atomic@not_atomic	Legal	0	-	46	0.013767
Bullet	G_FCMP	initial	first	i1,f64	-	WidenScalar	0	i32	45	0.013468
Bullet	G_FCMP	initial	revisit	i32,f64	-	Legal	0	-	45	0.013468
Bullet	G_FCONSTANT	initial	first	f64	-	Legal	0	-	45	0.013468
Bullet	G_LOAD	initial	first	i8,p0	i8@16@not_atomic@not_atomic	Legal	0	-	45	0.013468
Bullet	G_SDIV	initial	first	i64	-	Legal	0	-	45	0.013468
Bullet	G_FABS	initial	first	f32	-	Legal	0	-	42	0.012570
Bullet	G_FPTRUNC	initial	first	f32,f64	-	Legal	0	-	42	0.012570
Bullet	G_OR	initial	first	i32	-	Legal	0	-	42	0.012570
Bullet	G_ZEXT	initial	first	i64,i32	-	Legal	0	-	41	0.012271
Bullet	G_SDIV	initial	first	i32	-	Legal	0	-	38	0.011373
Bullet	G_LOAD	initial	first	f64,p0	f64@64@not_atomic@not_atomic	Legal	0	-	36	0.010774
Bullet	G_ICMP	initial	first	i1,i64	-	WidenScalar	0	i32	34	0.010176
Bullet	G_ICMP	initial	revisit	i32,i64	-	Legal	0	-	34	0.010176
Bullet	G_TRUNC	generated	first	i8,i16	-	Legal	0	-	34	0.010176
Bullet	G_LSHR	initial	revisit	i32,i64	-	Legal	0	-	33	0.009876
Bullet	G_STORE	initial	revisit	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	30	0.008979
Bullet	G_LOAD	initial	first	i8,p0	i8@64@acquire@not_atomic	Legal	0	-	29	0.008679
Bullet	G_ADD	initial	first	i64	-	Legal	0	-	28	0.008380
Bullet	G_ASHR	initial	revisit	i32,i64	-	Legal	0	-	28	0.008380
Bullet	G_SEXTLOAD	initial	first	i64,p0	i32@64@not_atomic@not_atomic	Legal	0	-	28	0.008380
Bullet	G_ZEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	27	0.008081
Bullet	G_MEMCPY	initial	first	p0,p0,i64	s8@32@not_atomic@not_atomic,s8@32@not_atomic@not_atomic	Libcall	0	-	26	0.007781
Bullet	G_STORE	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	26	0.007781
Bullet	G_FPTOUI	initial	first	i16,f32	-	WidenScalar	0	i32	24	0.007183
Bullet	G_FPTOUI	initial	revisit	i32,f32	-	Legal	0	-	24	0.007183
Bullet	G_STORE	initial	first	i32,p0	s32@32@not_atomic@not_atomic	Legal	0	-	24	0.007183
Bullet	G_XOR	initial	revisit	i32	-	Legal	0	-	24	0.007183
Bullet	G_STORE	initial	revisit	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	23	0.006884
Bullet	G_TRUNC	initial	first	i8,i64	-	Legal	0	-	23	0.006884
Bullet	G_LOAD	initial	first	i32,p0	s32@32@not_atomic@not_atomic	Legal	0	-	22	0.006584
Bullet	G_SELECT	initial	revisit	f32,i32	-	Legal	0	-	22	0.006584
Bullet	G_LSHR	initial	first	i32,i32	-	Custom	0	-	20	0.005986
Bullet	G_MEMSET	initial	first	p0,i8,i64	s8@64@not_atomic@not_atomic	Libcall	0	-	20	0.005986
Bullet	G_SELECT	initial	revisit	i64,i32	-	Legal	0	-	20	0.005986
Bullet	G_SHL	initial	first	i8,i8	-	WidenScalar	1	i32	20	0.005986
Bullet	G_SHL	initial	revisit	i32,i32	-	Custom	0	-	20	0.005986
Bullet	G_SHL	initial	revisit	i8,i32	-	WidenScalar	0	i32	20	0.005986
Bullet	G_ADD	initial	first	i16	-	WidenScalar	0	i32	18	0.005387
Bullet	G_ADD	initial	revisit	i32	-	Legal	0	-	18	0.005387
Bullet	G_SEXTLOAD	initial	first	i32,p0	i16@16@not_atomic@not_atomic	Legal	0	-	18	0.005387
Bullet	G_XOR	initial	first	i32	-	Legal	0	-	18	0.005387
Bullet	G_ASHR	initial	first	i32,i32	-	Custom	0	-	17	0.005088
Bullet	G_STORE	initial	first	i64,p0	i64@32@not_atomic@not_atomic	Legal	0	-	17	0.005088
Bullet	G_ICMP	initial	first	i1,i16	-	WidenScalar	1	i32	15	0.004489
Bullet	G_LOAD	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	15	0.004489
Bullet	G_LOAD	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	15	0.004489
Bullet	G_STORE	initial	first	i32,p0	i32@8@not_atomic@not_atomic	Legal	0	-	15	0.004489
Bullet	G_STORE	initial	first	i32,p0	s32@16@not_atomic@not_atomic	Legal	0	-	15	0.004489
Bullet	G_FPTOSI	initial	first	i32,f32	-	Legal	0	-	14	0.004190
Bullet	G_LSHR	initial	first	i8,i8	-	WidenScalar	1	i32	14	0.004190
Bullet	G_LSHR	initial	revisit	i32,i32	-	Custom	0	-	14	0.004190
Bullet	G_LSHR	initial	revisit	i8,i32	-	WidenScalar	0	i32	14	0.004190
Bullet	G_ZEXT	generated	first	i32,i16	-	Legal	0	-	14	0.004190
Bullet	G_ZEXTLOAD	initial	first	i64,p0	i32@64@not_atomic@not_atomic	Legal	0	-	14	0.004190
Bullet	G_STORE	initial	first	i64,p0	s64@64@not_atomic@not_atomic	Legal	0	-	13	0.003891
Bullet	G_SEXTLOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	12	0.003591
Bullet	G_STORE	initial	first	i16,p0	i16@64@not_atomic@not_atomic	Legal	0	-	12	0.003591
Bullet	G_UITOFP	initial	first	f32,i16	-	WidenScalar	1	i32	12	0.003591
Bullet	G_UITOFP	initial	first	f32,i32	-	Legal	0	-	12	0.003591
Bullet	G_UITOFP	initial	revisit	f32,i32	-	Legal	0	-	12	0.003591
Bullet	G_XOR	initial	first	i1	-	WidenScalar	0	i32	12	0.003591
Bullet	G_ASHR	initial	first	i8,i8	-	WidenScalar	1	i32	11	0.003292
Bullet	G_ASHR	initial	revisit	i32,i32	-	Custom	0	-	11	0.003292
Bullet	G_ASHR	initial	revisit	i8,i32	-	WidenScalar	0	i32	11	0.003292
Bullet	G_FMUL	initial	first	f64	-	Legal	0	-	11	0.003292
Bullet	G_LOAD	initial	first	i32,p0	i16@32@not_atomic@not_atomic	Legal	0	-	11	0.003292
Bullet	G_SELECT	initial	first	f32,i1	-	WidenScalar	1	i32	11	0.003292
Bullet	G_SEXT_INREG	generated	first	i32	-	Legal	0	-	11	0.003292
Bullet	G_CONSTANT	initial	first	s64	-	Legal	0	-	10	0.002993
Bullet	G_ICMP	generated	first	i1,i64	-	WidenScalar	0	i32	10	0.002993
Bullet	G_ICMP	generated	revisit	i32,i64	-	Legal	0	-	10	0.002993
Bullet	G_INTTOPTR	initial	first	p0,i64	-	Legal	0	-	10	0.002993
Bullet	G_LOAD	initial	first	i16,p0	i16@32@not_atomic@not_atomic	Legal	0	-	10	0.002993
Bullet	G_MUL	initial	revisit	i64	-	Legal	0	-	10	0.002993
Bullet	G_PTR_ADD	initial	first	p0,s64	-	Legal	0	-	10	0.002993
Bullet	G_SELECT	initial	first	i64,i1	-	WidenScalar	1	i32	10	0.002993
Bullet	G_STORE	initial	revisit	i8,p0	i8@32@not_atomic@not_atomic	Legal	0	-	10	0.002993
Bullet	G_UMULH	generated	first	i64	-	Legal	0	-	10	0.002993
Bullet	G_UMULO	initial	first	i64,i1	-	Lower	0	-	10	0.002993
Bullet	G_AND	initial	first	i64	-	Legal	0	-	8	0.002394
