workload	opcode	total	legal	legal_percent	Legal	NarrowScalar	WidenScalar	FewerElements	MoreElements	Bitcast	Lower	Libcall	Custom	Unsupported	NotFound
SPASS	G_STORE	19417	19417	100.000000	19417	0	0	0	0	0	0	0	0	0	0
SPASS	G_BR	18717	18717	100.000000	18717	0	0	0	0	0	0	0	0	0	0
SPASS	G_CONSTANT	16610	16187	97.453341	16187	0	423	0	0	0	0	0	0	0	0
SPASS	G_ICMP	16086	8041	49.987567	8041	0	8045	0	0	0	0	0	0	0	0
SPASS	G_GLOBAL_VALUE	4275	0	0.000000	0	0	0	0	0	0	0	0	4275	0	0
SPASS	G_PTR_ADD	3463	3463	100.000000	3463	0	0	0	0	0	0	0	0	0	0
SPASS	G_ADD	1650	1644	99.636364	1644	0	6	0	0	0	0	0	0	0	0
SPASS	G_PHI	912	519	56.907895	519	0	393	0	0	0	0	0	0	0	0
SPASS	G_SHL	771	764	99.092088	764	0	0	0	0	0	0	0	7	0	0
SPASS	G_TRUNC	680	680	100.000000	680	0	0	0	0	0	0	0	0	0	0
SPASS	G_SEXTLOAD	635	635	100.000000	635	0	0	0	0	0	0	0	0	0	0
SPASS	G_ZEXTLOAD	540	540	100.000000	540	0	0	0	0	0	0	0	0	0	0
SPASS	G_SUB	472	472	100.000000	472	0	0	0	0	0	0	0	0	0	0
SPASS	G_AND	422	422	100.000000	422	0	0	0	0	0	0	0	0	0	0
SPASS	G_PTRTOINT	372	210	56.451613	210	0	162	0	0	0	0	0	0	0	0
SPASS	G_ANYEXT	345	345	100.000000	345	0	0	0	0	0	0	0	0	0	0
SPASS	G_MUL	256	256	100.000000	256	0	0	0	0	0	0	0	0	0	0
SPASS	G_INTTOPTR	229	229	100.000000	229	0	0	0	0	0	0	0	0	0	0
SPASS	G_UDIV	177	177	100.000000	177	0	0	0	0	0	0	0	0	0	0
SPASS	G_SEXT	173	173	100.000000	173	0	0	0	0	0	0	0	0	0	0
SPASS	G_UREM	166	0	0.000000	0	0	0	0	0	0	166	0	0	0	0
SPASS	G_ZEXT	127	127	100.000000	127	0	0	0	0	0	0	0	0	0	0
SPASS	G_SELECT	87	58	66.666667	58	0	29	0	0	0	0	0	0	0	0
SPASS	G_OR	29	29	100.000000	29	0	0	0	0	0	0	0	0	0	0
SPASS	G_ASHR	23	3	13.043478	3	0	0	0	0	0	0	0	20	0	0
SPASS	G_FCMP	12	6	50.000000	6	0	6	0	0	0	0	0	0	0	0
SPASS	G_SDIV	10	10	100.000000	10	0	0	0	0	0	0	0	0	0	0
SPASS	G_SITOFP	8	8	100.000000	8	0	0	0	0	0	0	0	0	0	0
SPASS	G_XOR	6	3	50.000000	3	0	3	0	0	0	0	0	0	0	0
SPASS	G_BRJT	5	5	100.000000	5	0	0	0	0	0	0	0	0	0	0
SPASS	G_JUMP_TABLE	5	5	100.000000	5	0	0	0	0	0	0	0	0	0	0
SPASS	G_DYN_STACKALLOC	4	0	0.000000	0	0	0	0	0	0	0	0	4	0	0
SPASS	G_MEMCPY	4	0	0.000000	0	0	0	0	0	0	0	4	0	0	0
SPASS	G_FCONSTANT	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
SPASS	G_FPTOUI	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
SPASS	G_SREM	2	0	0.000000	0	0	0	0	0	0	2	0	0	0	0
SPASS	G_VASTART	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
SPASS	G_ABS	1	0	0.000000	0	0	0	0	0	0	0	0	1	0	0
SPASS	G_MEMSET	1	0	0.000000	0	0	0	0	0	0	0	1	0	0	0
sqlite3	G_LOAD	35121	35121	100.000000	35121	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FRAME_INDEX	28933	28933	100.000000	28933	0	0	0	0	0	0	0	0	0	0
sqlite3	G_CONSTANT	25961	25754	99.202650	25754	2	205	0	0	0	0	0	0	0	0
sqlite3	G_BRCOND	20270	13467	66.438086	13467	0	6803	0	0	0	0	0	0	0	0
sqlite3	G_BR	15505	15505	100.000000	15505	0	0	0	0	0	0	0	0	0	0
sqlite3	G_STORE	14672	14672	100.000000	14672	0	0	0	0	0	0	0	0	0	0
sqlite3	G_ICMP	14521	7058	48.605468	7058	0	7463	0	0	0	0	0	0	0	0
sqlite3	G_PTR_ADD	12250	12250	100.000000	12250	0	0	0	0	0	0	0	0	0	0
sqlite3	G_ADD	2214	2197	99.232159	2197	0	17	0	0	0	0	0	0	0	0
sqlite3	G_ZEXTLOAD	2012	2012	100.000000	2012	0	0	0	0	0	0	0	0	0	0
sqlite3	G_SEXTLOAD	1667	1667	100.000000	1667	0	0	0	0	0	0	0	0	0	0
sqlite3	G_GLOBAL_VALUE	1177	0	0.000000	0	0	0	0	0	0	0	0	1177	0	0
sqlite3	G_TRUNC	1002	1002	100.000000	1002	0	0	0	0	0	0	0	0	0	0
sqlite3	G_SHL	919	731	79.542982	731	0	0	0	0	0	0	0	188	0	0
sqlite3	G_AND	793	793	100.000000	793	0	0	0	0	0	0	0	0	0	0
sqlite3	G_MUL	640	640	100.000000	640	0	0	0	0	0	0	0	0	0	0
sqlite3	G_PHI	525	340	64.761905	340	1	184	0	0	0	0	0	0	0	0
sqlite3	G_SEXT	467	467	100.000000	467	0	0	0	0	0	0	0	0	0	0
sqlite3	G_ZEXT	453	453	100.000000	453	0	0	0	0	0	0	0	0	0	0
sqlite3	G_SELECT	388	258	66.494845	258	0	130	0	0	0	0	0	0	0	0
sqlite3	G_OR	296	296	100.000000	296	0	0	0	0	0	0	0	0	0	0
sqlite3	G_SUB	237	237	100.000000	237	0	0	0	0	0	0	0	0	0	0
sqlite3	G_LSHR	196	101	51.530612	101	0	0	0	0	0	0	0	95	0	0
sqlite3	G_ANYEXT	192	192	100.000000	192	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FCONSTANT	108	108	100.000000	108	0	0	0	0	0	0	0	0	0	0
sqlite3	G_MEMCPY	92	0	0.000000	0	0	0	0	0	0	0	92	0	0	0
sqlite3	G_SDIV	81	81	100.000000	81	0	0	0	0	0	0	0	0	0	0
sqlite3	G_PTRTOINT	70	66	94.285714	66	0	4	0	0	0	0	0	0	0	0
sqlite3	G_FCMP	62	22	35.483871	22	0	31	0	0	0	0	9	0	0	0
sqlite3	G_MEMSET	56	0	0.000000	0	0	0	0	0	0	0	56	0	0	0
sqlite3	G_ASHR	50	27	54.000000	27	0	0	0	0	0	0	0	23	0	0
sqlite3	G_SITOFP	48	45	93.750000	45	0	0	0	0	0	0	3	0	0	0
sqlite3	G_XOR	39	36	92.307692	36	2	1	0	0	0	0	0	0	0	0
sqlite3	G_FMUL	38	23	60.526316	23	0	0	0	0	0	0	15	0	0	0
sqlite3	G_FPTOSI	34	33	97.058824	33	0	0	0	0	0	0	1	0	0	0
sqlite3	G_FADD	33	29	87.878788	29	0	0	0	0	0	0	4	0	0	0
sqlite3	G_INTTOPTR	25	25	100.000000	25	0	0	0	0	0	0	0	0	0	0
sqlite3	G_UDIV	25	25	100.000000	25	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FDIV	21	19	90.476190	19	0	0	0	0	0	0	2	0	0	0
sqlite3	G_FSUB	20	19	95.000000	19	0	0	0	0	0	0	1	0	0	0
sqlite3	G_SREM	14	0	0.000000	0	0	0	0	0	0	14	0	0	0	0
sqlite3	G_VASTART	11	11	100.000000	11	0	0	0	0	0	0	0	0	0	0
sqlite3	G_BRJT	10	10	100.000000	10	0	0	0	0	0	0	0	0	0	0
sqlite3	G_JUMP_TABLE	10	10	100.000000	10	0	0	0	0	0	0	0	0	0	0
sqlite3	G_UREM	10	0	0.000000	0	0	0	0	0	0	10	0	0	0	0
sqlite3	G_FMA	9	9	100.000000	9	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FNEG	6	4	66.666667	4	0	0	0	0	0	2	0	0	0	0
sqlite3	G_BITCAST	4	4	100.000000	4	0	0	0	0	0	0	0	0	0	0
sqlite3	G_UNMERGE_VALUES	4	4	100.000000	4	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FPEXT	3	0	0.000000	0	0	0	0	0	0	0	3	0	0	0
sqlite3	G_MERGE_VALUES	3	3	100.000000	3	0	0	0	0	0	0	0	0	0	0
sqlite3	G_MEMMOVE	2	0	0.000000	0	0	0	0	0	0	0	2	0	0	0
sqlite3	G_UITOFP	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
sqlite3	G_BUILD_VECTOR	1	1	100.000000	1	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FPTOUI	1	1	100.000000	1	0	0	0	0	0	0	0	0	0	0
sqlite3	G_FPTRUNC	1	0	0.000000	0	0	0	0	0	0	0	1	0	0	0
sqlite3	G_SEXT_INREG	1	1	100.000000	1	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FRAME_INDEX	39765	39765	100.000000	39765	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_LOAD	36051	35925	99.650495	35925	0	0	0	0	0	126	0	0	0	0
tramp3d-v4	G_STORE	30408	29888	98.289924	29888	0	260	0	0	0	260	0	0	0	0
tramp3d-v4	G_CONSTANT	14937	14541	97.348865	14541	0	396	0	0	0	0	0	0	0	0
tramp3d-v4	G_PTR_ADD	8600	8600	100.000000	8600	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_BRCOND	7949	4966	62.473267	4966	0	2983	0	0	0	0	0	0	0	0
tramp3d-v4	G_BR	7639	7639	100.000000	7639	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_ICMP	4771	2266	47.495284	2266	0	2505	0	0	0	0	0	0	0	0
tramp3d-v4	G_AND	2679	2351	87.756626	2351	0	328	0	0	0	0	0	0	0	0
tramp3d-v4	G_ADD	1016	1016	100.000000	1016	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_GLOBAL_VALUE	925	0	0.000000	0	0	0	0	0	0	0	0	925	0	0
tramp3d-v4	G_TRUNC	852	852	100.000000	852	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SEXTLOAD	678	678	100.000000	678	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_PTRTOINT	533	533	100.000000	533	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_INTTOPTR	515	515	100.000000	515	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SHL	463	456	98.488121	456	0	0	0	0	0	0	0	7	0	0
tramp3d-v4	G_MUL	453	453	100.000000	453	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_ZEXTLOAD	321	321	100.000000	321	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SUB	291	291	100.000000	291	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_ZEXT	239	239	100.000000	239	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_PHI	225	172	76.444444	172	0	53	0	0	0	0	0	0	0	0
tramp3d-v4	G_SDIV	203	203	100.000000	203	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_ANYEXT	192	192	100.000000	192	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FMUL	190	190	100.000000	190	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FCONSTANT	167	167	100.000000	167	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FSUB	123	123	100.000000	123	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SEXT	110	110	100.000000	110	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FMA	99	99	100.000000	99	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FCMP	78	39	50.000000	39	0	39	0	0	0	0	0	0	0	0
tramp3d-v4	G_FDIV	69	69	100.000000	69	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FADD	45	45	100.000000	45	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SELECT	41	26	63.414634	26	0	15	0	0	0	0	0	0	0	0
tramp3d-v4	G_XOR	37	26	70.270270	26	0	11	0	0	0	0	0	0	0	0
tramp3d-v4	G_UDIV	25	25	100.000000	25	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FNEG	20	20	100.000000	20	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_SITOFP	16	16	100.000000	16	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_MEMMOVE	12	0	0.000000	0	0	0	0	0	0	0	12	0	0	0
tramp3d-v4	G_OR	10	8	80.000000	8	0	2	0	0	0	0	0	0	0	0
tramp3d-v4	G_SREM	10	0	0.000000	0	0	0	0	0	0	10	0	0	0	0
tramp3d-v4	G_TRAP	10	10	100.000000	10	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FABS	6	6	100.000000	6	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_UMULH	4	4	100.000000	4	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_UMULO	4	0	0.000000	0	0	0	0	0	0	4	0	0	0	0
tramp3d-v4	G_BITCAST	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_FPTOSI	2	2	100.000000	2	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_IS_FPCLASS	2	0	0.000000	0	0	0	0	0	0	2	0	0	0	0
tramp3d-v4	G_CTLZ	1	1	100.000000	1	0	0	0	0	0	0	0	0	0	0
tramp3d-v4	G_MEMCPY	1	0	0.000000	0	0	0	0	0	0	0	1	0	0	0
tramp3d-v4	G_MEMSET	1	0	0.000000	0	0	0	0	0	0	0	1	0	0	0
tramp3d-v4	G_VASTART	1	1	100.000000	1	0	0	0	0	0	0	0	0	0	0
