workload	opcode	result_type	operand_types	count	share_percent
TOTAL	load	ptr	ptr	330114	17.509038
TOTAL	getelementptr	ptr	ptr,i32,i32	174707	9.266349
TOTAL	load	i32	ptr	153943	8.165039
TOTAL	alloca	ptr	i32	151232	8.021250
TOTAL	store	void	ptr,ptr	136797	7.255626
TOTAL	br	void	label	116603	6.184549
TOTAL	store	void	i32,ptr	85298	4.524152
TOTAL	br	void	i1,label,label	72078	3.822972
TOTAL	icmp	i1	i32,i32	49435	2.622001
TOTAL	getelementptr	ptr	ptr,i64	48707	2.583388
TOTAL	getelementptr	ptr	ptr,i64,i64	47122	2.499321
TOTAL	sext	i64	i32	32925	1.746321
TOTAL	call	void	ptr,ptr	30004	1.591393
TOTAL	add	i32	i32,i32	25390	1.346670
TOTAL	call	ptr	ptr,ptr	22401	1.188135
TOTAL	ret	void	-	21217	1.125336
TOTAL	load	i8	ptr	17910	0.949935
TOTAL	load	float	ptr	17155	0.909890
TOTAL	icmp	i1	ptr,ptr	15476	0.820837
TOTAL	call	i32	ptr,ptr	14042	0.744779
TOTAL	store	void	float,ptr	12665	0.671744
TOTAL	zext	i32	i8	11355	0.602262
TOTAL	load	i64	ptr	11245	0.596428
TOTAL	ret	void	ptr	10055	0.533311
TOTAL	load	i16	ptr	9593	0.508807
TOTAL	store	void	i8,ptr	8883	0.471149
TOTAL	sub	i32	i32,i32	8192	0.434499
TOTAL	call	void	ptr,ptr,ptr	8134	0.431422
TOTAL	call	void	ptr,ptr,ptr,ptr	7761	0.411639
TOTAL	ret	void	i32	7125	0.377905
TOTAL	store	void	i64,ptr	6570	0.348469
TOTAL	zext	i64	i32	6245	0.331231
TOTAL	call	ptr	ptr,ptr,ptr	6107	0.323911
TOTAL	zext	i32	i16	4817	0.255491
TOTAL	call	ptr	ptr,i32,ptr	4767	0.252839
TOTAL	extractvalue	ptr	{ ptr, i32 }	4684	0.248436
TOTAL	and	i32	i32,i32	4669	0.247641
TOTAL	call	i32	ptr,ptr,ptr	4493	0.238306
TOTAL	store	void	i16,ptr	4431	0.235017
TOTAL	unreachable	void	-	4180	0.221705
TOTAL	phi	ptr	ptr,ptr	3888	0.206217
TOTAL	call	void	ptr,ptr,i64,i1,ptr	3707	0.196617
TOTAL	extractvalue	i32	{ ptr, i32 }	3657	0.193965
TOTAL	shl	i32	i32,i32	3487	0.184948
TOTAL	icmp	i1	i8,i8	3365	0.178477
TOTAL	landingpad	{ ptr, i32 }	-	3267	0.173280
TOTAL	getelementptr	ptr	ptr,i32	3193	0.169355
TOTAL	invoke	void	ptr,label,label,ptr	3188	0.169090
TOTAL	icmp	i1	i64,i64	3181	0.168718
TOTAL	mul	i32	i32,i32	3005	0.159383
TOTAL	call	void	ptr,i32,ptr	2886	0.153072
TOTAL	call	ptr	ptr	2742	0.145434
TOTAL	load	double	ptr	2607	0.138274
TOTAL	extractvalue	[4 x float]	%class.btVector3	2566	0.136099
TOTAL	store	void	[4 x float],ptr	2566	0.136099
TOTAL	call	void	ptr	2562	0.135887
TOTAL	or	i32	i32,i32	2554	0.135463
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr	2544	0.134932
TOTAL	fmul	float	float,float	2443	0.129575
TOTAL	add	i64	i64,i64	2384	0.126446
TOTAL	sext	i32	i16	2283	0.121089
TOTAL	call	%class.btVector3	ptr,ptr,ptr	2142	0.113610
TOTAL	store	void	double,ptr	2112	0.112019
TOTAL	call	void	ptr,i64,ptr	2027	0.107511
TOTAL	phi	i32	i32,i32	1978	0.104912
TOTAL	sub	i64	i64,i64	1923	0.101995
TOTAL	trunc	i16	i32	1881	0.099767
TOTAL	call	i64	ptr,ptr	1840	0.097592
TOTAL	call	i32	i32,ptr	1723	0.091387
TOTAL	lshr	i32	i32,i32	1719	0.091175
TOTAL	ptrtoint	i64	ptr	1682	0.089212
TOTAL	zext	i32	i1	1670	0.088576
TOTAL	trunc	i32	i64	1669	0.088523
TOTAL	trunc	i8	i32	1642	0.087091
TOTAL	fcmp	i1	float,float	1526	0.080938
TOTAL	call	ptr	i64,ptr	1507	0.079930
TOTAL	ashr	i32	i32,i32	1475	0.078233
TOTAL	call	i32	ptr,i32,ptr	1449	0.076854
TOTAL	and	i16	i16,i16	1423	0.075475
TOTAL	phi	i1	i1,i1	1422	0.075422
TOTAL	fadd	float	float,float	1410	0.074786
TOTAL	call	i32	ptr	1356	0.071921
TOTAL	xor	i1	i1,i1	1355	0.071868
TOTAL	call	i32	ptr,ptr,ptr,ptr	1346	0.071391
TOTAL	store	void	i1,ptr	1327	0.070383
TOTAL	call	float	float,float,float,ptr	1290	0.068421
TOTAL	invoke	ptr	ptr,label,label,ptr	1204	0.063859
TOTAL	zext	i64	i8	1194	0.063329
TOTAL	ret	void	i1	1180	0.062586
TOTAL	call	ptr	ptr,ptr,ptr,ptr	1128	0.059828
TOTAL	landingpad	{ ptr, i32 }	ptr	1090	0.057813
TOTAL	call	i1	ptr,ptr	1088	0.057707
TOTAL	call	i32	i32,i32,ptr	1059	0.056169
TOTAL	call	ptr	i32,ptr	1057	0.056063
TOTAL	xor	i32	i32,i32	1051	0.055744
TOTAL	call	float	ptr,ptr,ptr	1049	0.055638
TOTAL	call	ptr	ptr,ptr,ptr,i64,ptr	1010	0.053570
TOTAL	mul	i64	i64,i64	997	0.052880
TOTAL	zext	i8	i1	958	0.050812
TOTAL	invoke	i32	ptr,label,label,ptr	950	0.050387
TOTAL	zext	i64	i1	928	0.049221
TOTAL	invoke	void	ptr,ptr,label,label,ptr	871	0.046197
TOTAL	and	i8	i8,i8	867	0.045985
TOTAL	invoke	ptr	ptr,i32,label,label,ptr	858	0.045508
TOTAL	call	void	ptr,i32,i32,ptr	835	0.044288
TOTAL	fsub	float	float,float	834	0.044235
TOTAL	fneg	float	float	831	0.044076
TOTAL	inttoptr	ptr	i64	814	0.043174
TOTAL	ret	void	float	790	0.041901
TOTAL	fmul	double	double,double	778	0.041265
TOTAL	fpext	double	float	772	0.040946
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr	770	0.040840
TOTAL	sdiv	i32	i32,i32	762	0.040416
TOTAL	call	ptr	i32,ptr,ptr	748	0.039673
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr	745	0.039514
TOTAL	ret	void	i64	734	0.038931
TOTAL	select	i32	i1,i32,i32	730	0.038719
TOTAL	invoke	ptr	ptr,ptr,label,label,ptr	703	0.037287
TOTAL	fdiv	float	float,float	664	0.035218
TOTAL	call	float	ptr,ptr	649	0.034423
TOTAL	call	void	ptr,i32,ptr,ptr	620	0.032884
TOTAL	call	void	ptr,ptr,i32,ptr	619	0.032831
TOTAL	call	float	float,ptr	602	0.031930
TOTAL	or	i16	i16,i16	602	0.031930
TOTAL	load	%class.btVector3	ptr	597	0.031665
TOTAL	ret	void	%class.btVector3	597	0.031665
TOTAL	invoke	void	ptr,ptr,ptr,label,label,ptr	595	0.031558
TOTAL	lshr	i16	i16,i16	591	0.031346
TOTAL	call	void	i32,ptr	573	0.030392
TOTAL	call	i32	ptr,ptr,i32,ptr	563	0.029861
TOTAL	sitofp	double	i32	553	0.029331
TOTAL	load	i1	ptr	510	0.027050
TOTAL	call	i1	ptr,ptr,ptr	480	0.025459
TOTAL	sitofp	float	i32	478	0.025353
TOTAL	call	ptr	ptr,i64,ptr	464	0.024610
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr	464	0.024610
TOTAL	sext	i64	i16	461	0.024451
TOTAL	call	i32	ptr,ptr,i64,ptr	452	0.023974
TOTAL	switch	void	i32,label,label,label	451	0.023921
TOTAL	sdiv	i64	i64,i64	411	0.021799
TOTAL	switch	void	i32,label,label	407	0.021587
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr	394	0.020898
TOTAL	call	i32	ptr,i32,i32,i32,ptr	392	0.020791
TOTAL	call	ptr	ptr,ptr,i32,ptr	392	0.020791
TOTAL	call	i1	ptr,i64,ptr	386	0.020473
TOTAL	fsub	double	double,double	386	0.020473
TOTAL	call	ptr	ptr,i32,ptr,ptr	368	0.019518
TOTAL	or	i8	i8,i8	364	0.019306
TOTAL	fadd	double	double,double	358	0.018988
TOTAL	fdiv	double	double,double	354	0.018776
TOTAL	sext	i32	i8	354	0.018776
TOTAL	call	double	double,double,double,ptr	336	0.017821
TOTAL	invoke	i32	ptr,ptr,label,label,ptr	335	0.017768
TOTAL	call	void	ptr,ptr,i64,ptr	324	0.017185
TOTAL	call	void	ptr,i8,i64,i1,ptr	317	0.016813
TOTAL	landingpad	{ ptr, i32 }	ptr,ptr	315	0.016707
TOTAL	call	i32	i32,ptr,ptr	313	0.016601
TOTAL	zext	i64	i16	311	0.016495
TOTAL	call	ptr	i64,i64,ptr	303	0.016071
TOTAL	srem	i32	i32,i32	295	0.015647
TOTAL	fptrunc	float	double	294	0.015594
TOTAL	call	ptr	ptr,i32,i32,ptr	292	0.015487
TOTAL	fcmp	i1	double,double	292	0.015487
TOTAL	invoke	i1	ptr,label,label,ptr	287	0.015222
TOTAL	shl	i16	i16,i16	287	0.015222
TOTAL	call	ptr	i32,i32,ptr	275	0.014586
TOTAL	trunc	i8	i64	267	0.014162
TOTAL	and	i64	i64,i64	264	0.014002
TOTAL	call	i32	ptr,i32,i32,ptr	262	0.013896
TOTAL	fptosi	i32	double	261	0.013843
TOTAL	call	i32	ptr,i32,ptr,ptr	259	0.013737
TOTAL	switch	void	i32,label,label,label,label	253	0.013419
TOTAL	call	void	ptr,ptr,i32,i32,ptr	252	0.013366
TOTAL	urem	i32	i32,i32	249	0.013207
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr	248	0.013154
TOTAL	call	i32	i32,ptr,i32,ptr	245	0.012995
TOTAL	call	i32	i32,i32,i32,ptr	242	0.012836
TOTAL	invoke	void	ptr,ptr,ptr,ptr,label,label,ptr	238	0.012623
TOTAL	call	double	ptr,ptr,ptr	231	0.012252
TOTAL	shl	i64	i64,i64	224	0.011881
TOTAL	call	ptr	i32,ptr,ptr,ptr	223	0.011828
TOTAL	call	i32	ptr,ptr,ptr,i32,ptr	197	0.010449
TOTAL	ret	void	double	196	0.010396
TOTAL	call	i64	i32,i64,i32,ptr	193	0.010237
TOTAL	lshr	i8	i8,i8	191	0.010131
TOTAL	invoke	void	ptr,i32,label,label,ptr	183	0.009706
TOTAL	udiv	i64	i64,i64	180	0.009547
TOTAL	phi	i64	i64,i64	179	0.009494
TOTAL	lshr	i64	i64,i64	175	0.009282
TOTAL	ptrtoint	i32	ptr	172	0.009123
TOTAL	phi	i1	i1,i1,i1	170	0.009017
TOTAL	phi	float	float,float	169	0.008964
TOTAL	udiv	i32	i32,i32	165	0.008751
TOTAL	call	%class.btVector3	ptr,ptr	162	0.008592
TOTAL	call	void	ptr,i32,i1,ptr	162	0.008592
TOTAL	call	void	ptr,ptr,ptr,i32,ptr	162	0.008592
TOTAL	icmp	i1	i16,i16	161	0.008539
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	160	0.008486
TOTAL	call	void	ptr,i32,i1,i1,ptr	155	0.008221
TOTAL	add	i16	i16,i16	153	0.008115
TOTAL	call	ptr	i64,i32,ptr	153	0.008115
TOTAL	call	i32	ptr,i64,ptr	150	0.007956
TOTAL	call	void	ptr,i32,i32,ptr,ptr	150	0.007956
TOTAL	call	i32	ptr,i32,i32,i32,i32,ptr	149	0.007903
TOTAL	invoke	void	ptr,ptr,i32,label,label,ptr	149	0.007903
TOTAL	store	void	[2 x i64],ptr	149	0.007903
TOTAL	shl	i8	i8,i8	148	0.007850
TOTAL	call	ptr	ptr,ptr,i64,ptr	144	0.007638
TOTAL	select	ptr	i1,ptr,ptr	143	0.007585
TOTAL	call	void	i32,ptr,ptr,ptr	139	0.007372
TOTAL	or	i64	i64,i64	138	0.007319
TOTAL	switch	void	i32,label,label,label,label,label	136	0.007213
TOTAL	invoke	i32	ptr,i32,label,label,ptr	135	0.007160
TOTAL	call	i32	ptr,ptr,i32,ptr,ptr	132	0.007001
TOTAL	call	i64	ptr,ptr,ptr	132	0.007001
TOTAL	call	void	i32,ptr,ptr	132	0.007001
TOTAL	call	void	ptr,i32,i32,i32,ptr	132	0.007001
TOTAL	call	double	ptr,ptr	126	0.006683
TOTAL	invoke	ptr	i64,label,label,ptr	126	0.006683
TOTAL	invoke	i32	ptr,ptr,ptr,label,label,ptr	125	0.006630
TOTAL	call	void	ptr,i16,ptr,ptr	123	0.006524
TOTAL	call	i32	ptr,ptr,i32,i32,ptr	119	0.006312
TOTAL	call	ptr	ptr,i32,i32,i32,i32,i8,ptr	114	0.006046
TOTAL	invoke	%class.btVector3	ptr,ptr,label,label,ptr	114	0.006046
TOTAL	invoke	i64	ptr,label,label,ptr	113	0.005993
TOTAL	call	double	double,ptr	110	0.005834
TOTAL	invoke	void	label,label,ptr	110	0.005834
TOTAL	call	i32	ptr,ptr,double,ptr	107	0.005675
TOTAL	call	void	ptr,i8,ptr	105	0.005569
TOTAL	invoke	i1	ptr,ptr,label,label,ptr	104	0.005516
TOTAL	invoke	void	ptr,i32,ptr,label,label,ptr	103	0.005463
TOTAL	call	i1	ptr,ptr,ptr,ptr	100	0.005304
TOTAL	call	i32	i32,i32,i64,ptr	100	0.005304
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr	100	0.005304
TOTAL	call	void	i1,ptr	100	0.005304
TOTAL	call	void	ptr,i32,ptr,ptr,i32,ptr	98	0.005198
TOTAL	call	void	i32,i32,ptr,i32,i32,i32,ptr	96	0.005092
TOTAL	call	i1	ptr,i32,ptr	95	0.005039
TOTAL	call	void	i32,i32,ptr	94	0.004986
TOTAL	call	void	ptr,ptr,i32,ptr,ptr	94	0.004986
TOTAL	fptosi	i32	float	94	0.004986
TOTAL	call	{ i64, i1 }	i64,i64,ptr	93	0.004933
TOTAL	extractvalue	i1	{ i64, i1 }	93	0.004933
TOTAL	extractvalue	i64	{ i64, i1 }	93	0.004933
TOTAL	load	[2 x i64]	ptr	92	0.004880
TOTAL	call	i32	ptr,i32,ptr,ptr,ptr	91	0.004827
TOTAL	call	i8	ptr,ptr	87	0.004614
TOTAL	select	i64	i1,i64,i64	87	0.004614
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,ptr	86	0.004561
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr,i32,ptr	84	0.004455
TOTAL	call	void	ptr,ptr,i8,ptr	84	0.004455
TOTAL	call	void	ptr,float,ptr	83	0.004402
TOTAL	call	void	ptr,ptr,i1,ptr	82	0.004349
TOTAL	zext	i16	i8	82	0.004349
TOTAL	call	ptr	ptr,ptr,ptr,i32,ptr	79	0.004190
TOTAL	call	void	ptr,i32,ptr,ptr,ptr	78	0.004137
TOTAL	call	%class.btVector3	ptr,i32,ptr	77	0.004084
TOTAL	call	ptr	i16,ptr	77	0.004084
TOTAL	call	i32	ptr,i32,i32,i32,i32,ptr,i32,ptr	76	0.004031
TOTAL	call	i32	ptr,i64,ptr,ptr	75	0.003978
TOTAL	call	void	ptr,i16,ptr	74	0.003925
TOTAL	call	void	ptr,ptr,ptr,float,ptr	74	0.003925
TOTAL	extractvalue	%class.btQuadWord	%class.btQuaternion	73	0.003872
TOTAL	store	void	%class.btQuadWord,ptr	73	0.003872
TOTAL	call	float	ptr,i32,i32,i32,i32,ptr	72	0.003819
TOTAL	invoke	ptr	ptr,i64,label,label,ptr	72	0.003819
TOTAL	call	void	ptr,i64,i64,ptr	71	0.003766
TOTAL	call	double	ptr,ptr,ptr,ptr	70	0.003713
TOTAL	sitofp	float	i64	70	0.003713
TOTAL	call	i64	i64,ptr	69	0.003660
TOTAL	fneg	double	double	67	0.003554
TOTAL	add	i8	i8,i8	66	0.003501
TOTAL	phi	i1	i1,i1,i1,i1	65	0.003448
TOTAL	call	ptr	ptr,i32,ptr,ptr,ptr,ptr	64	0.003395
TOTAL	call	ptr	ptr,i64,ptr,ptr	64	0.003395
TOTAL	invoke	float	ptr,label,label,ptr	64	0.003395
TOTAL	sitofp	double	i64	64	0.003395
TOTAL	switch	void	i32,label,label,label,label,label,label	64	0.003395
TOTAL	call	i16	ptr,ptr	61	0.003235
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr	61	0.003235
TOTAL	urem	i64	i64,i64	61	0.003235
TOTAL	call	void	ptr,i1,ptr	60	0.003182
TOTAL	ret	void	i8	60	0.003182
TOTAL	call	double	double,double,ptr	59	0.003129
TOTAL	call	i64	ptr,i64,ptr	58	0.003076
TOTAL	call	i32	ptr,i32,i32,i32,i32,i32,ptr	57	0.003023
TOTAL	call	i64	ptr	57	0.003023
TOTAL	call	i32	ptr,i32,ptr,i32,ptr	56	0.002970
TOTAL	call	[2 x i64]	ptr,i64,ptr	55	0.002917
TOTAL	invoke	i32	ptr,i64,label,label,ptr	55	0.002917
TOTAL	call	i32	ptr,i32,i32,ptr,i32,ptr	53	0.002811
TOTAL	call	void	ptr,i64,ptr,ptr	53	0.002811
TOTAL	invoke	i32	ptr,i32,i32,ptr,label,label,ptr	53	0.002811
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr	52	0.002758
TOTAL	call	void	ptr,ptr,ptr,i32,i32,ptr	52	0.002758
TOTAL	invoke	void	ptr,float,label,label,ptr	52	0.002758
TOTAL	call	ptr	ptr,i32,i32,i32,i32,i32,i32,i32,ptr,ptr,ptr	51	0.002705
TOTAL	phi	double	double,double	51	0.002705
TOTAL	invoke	void	ptr,i64,label,label,ptr	50	0.002652
TOTAL	call	i32	ptr,i64,ptr,ptr,ptr	49	0.002599
TOTAL	switch	void	i32,label,label,label,label,label,label,label	49	0.002599
TOTAL	call	ptr	i64,ptr,ptr	48	0.002546
TOTAL	call	ptr	ptr,i1,ptr	48	0.002546
TOTAL	call	void	ptr,i32,ptr,i32,ptr	48	0.002546
TOTAL	call	void	ptr,ptr,ptr,i32,i32,ptr,ptr,i32,ptr	48	0.002546
TOTAL	ret	void	[2 x i64]	48	0.002546
TOTAL	call	i32	ptr,i64,i32,ptr,ptr	47	0.002493
TOTAL	call	i32	ptr,i32,i32,ptr,ptr	46	0.002440
TOTAL	invoke	ptr	i64,i32,label,label,ptr	46	0.002440
TOTAL	sext	i16	i8	46	0.002440
TOTAL	trunc	i8	i16	46	0.002440
TOTAL	call	i64	i32,ptr,i64,ptr	45	0.002387
TOTAL	call	i64	ptr,i64,i64,ptr,ptr	45	0.002387
TOTAL	call	void	i32,i32,ptr,ptr	44	0.002334
TOTAL	call	i1	i32,ptr	42	0.002228
TOTAL	call	void	ptr,double,ptr	42	0.002228
TOTAL	call	void	i32,i32,i32,ptr,ptr	41	0.002175
TOTAL	call	i32	ptr,i32,i32,i32,i32,i32,i32,i32,ptr	40	0.002122
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr	40	0.002122
TOTAL	call	void	ptr,i32,ptr,ptr,i32,ptr,ptr,ptr	40	0.002122
TOTAL	call	void	ptr,i64,i1,ptr	38	0.002015
TOTAL	call	void	ptr,i32,i32,ptr,ptr,ptr	37	0.001962
TOTAL	load	fp128	ptr	37	0.001962
TOTAL	call	i1	ptr,i64,ptr,ptr	36	0.001909
TOTAL	call	i32	ptr,i32,ptr,ptr,ptr,ptr	36	0.001909
TOTAL	call	%class.btQuaternion	ptr,ptr	35	0.001856
TOTAL	call	i64	ptr,ptr,ptr,ptr	34	0.001803
TOTAL	invoke	i32	ptr,i64,i32,ptr,label,label,ptr	34	0.001803
TOTAL	load	%class.btQuaternion	ptr	34	0.001803
TOTAL	ret	void	%class.btQuaternion	34	0.001803
TOTAL	call	float	float,float,ptr	33	0.001750
TOTAL	call	i32	ptr,ptr,i32,i32,i32,ptr	33	0.001750
TOTAL	call	i64	i64,ptr,i32,ptr	33	0.001750
TOTAL	call	void	ptr,i64,i32,i32,ptr	33	0.001750
TOTAL	call	i16	i16,ptr	32	0.001697
TOTAL	call	i32	i32,ptr,ptr,ptr	32	0.001697
TOTAL	call	ptr	ptr,i8,ptr	32	0.001697
TOTAL	call	ptr	ptr,ptr,ptr,i64,i64,ptr	32	0.001697
TOTAL	invoke	i32	ptr,i32,ptr,label,label,ptr	32	0.001697
TOTAL	invoke	ptr	ptr,i8,label,label,ptr	32	0.001697
TOTAL	invoke	void	ptr,i8,label,label,ptr	32	0.001697
TOTAL	invoke	float	ptr,ptr,label,label,ptr	31	0.001644
TOTAL	call	ptr	i32,ptr,ptr,ptr,ptr	30	0.001591
TOTAL	call	ptr	ptr,ptr,i32,ptr,ptr	30	0.001591
TOTAL	call	void	i32,i8,ptr	30	0.001591
TOTAL	call	void	ptr,ptr,i32,i32,i32,ptr	30	0.001591
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label	30	0.001591
TOTAL	call	%class.btQuaternion	ptr,ptr,ptr	29	0.001538
TOTAL	call	i64	i64,i64,ptr	29	0.001538
TOTAL	invoke	i32	ptr,ptr,ptr,ptr,ptr,ptr,label,label,ptr	29	0.001538
TOTAL	invoke	void	ptr,i1,label,label,ptr	29	0.001538
TOTAL	invoke	void	ptr,ptr,ptr,ptr,ptr,label,label,ptr	29	0.001538
TOTAL	call	void	ptr,i32,ptr,ptr,i32,ptr,ptr	28	0.001485
TOTAL	call	void	ptr,ptr,float,ptr	28	0.001485
TOTAL	ret	void	i16	28	0.001485
TOTAL	trunc	i16	i64	28	0.001485
TOTAL	call	[2 x i64]	ptr,ptr,ptr	27	0.001432
TOTAL	call	float	ptr,ptr,ptr,ptr	27	0.001432
TOTAL	call	i32	i32,i32,i32,ptr,ptr	27	0.001432
TOTAL	call	i64	ptr,ptr,i64,ptr	27	0.001432
TOTAL	call	ptr	ptr,i32,ptr,i32,ptr	27	0.001432
TOTAL	call	ptr	ptr,ptr,i32,i32,ptr	27	0.001432
TOTAL	call	void	i32,i32,i32,i32,ptr,ptr	27	0.001432
TOTAL	call	double	ptr,i32,i32,i32,ptr	26	0.001379
TOTAL	call	i32	i32,i8,ptr	26	0.001379
TOTAL	call	ptr	ptr,i32,ptr,ptr,ptr	26	0.001379
TOTAL	invoke	void	ptr,i32,i32,label,label,ptr	26	0.001379
TOTAL	xor	i64	i64,i64	26	0.001379
TOTAL	call	i32	i32,ptr,i32,ptr,ptr	25	0.001326
TOTAL	call	i32	ptr,i64,ptr,i32,ptr	25	0.001326
TOTAL	call	i64	ptr,i64,ptr,ptr	25	0.001326
TOTAL	call	void	ptr,float,float,float,ptr	25	0.001326
TOTAL	call	void	ptr,i64,ptr,ptr,ptr	25	0.001326
TOTAL	invoke	i1	ptr,i32,label,label,ptr	25	0.001326
TOTAL	store	void	fp128,ptr	25	0.001326
TOTAL	call	ptr	ptr,ptr,ptr,i64,i64,i64,i32,ptr	24	0.001273
TOTAL	call	void	ptr,i32,i64,ptr	24	0.001273
TOTAL	fptoui	i16	float	24	0.001273
TOTAL	call	void	i32,i32,i32,ptr,ptr,ptr,ptr	23	0.001220
TOTAL	invoke	i32	ptr,i1,label,label,ptr	23	0.001220
TOTAL	call	i32	ptr,ptr,i32,i64,ptr	22	0.001167
TOTAL	call	i32	ptr,ptr,ptr,ptr,ptr,i32,ptr	22	0.001167
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,i32,ptr	22	0.001167
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,i32,ptr	22	0.001167
TOTAL	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr	22	0.001167
TOTAL	call	void	ptr,i32,i32,i32,i32,ptr	22	0.001167
TOTAL	call	void	ptr,ptr,ptr,ptr,i32,ptr	22	0.001167
TOTAL	call	void	ptr,ptr,ptr,ptr,i64,ptr	22	0.001167
TOTAL	invoke	%class.btVector3	ptr,label,label,ptr	22	0.001167
TOTAL	invoke	i32	ptr,ptr,i32,label,label,ptr	22	0.001167
TOTAL	call	%class.btVector3	ptr,ptr,ptr,ptr	21	0.001114
TOTAL	call	i16	i16,i32,ptr	21	0.001114
TOTAL	call	i32	ptr,i64,i32,ptr	21	0.001114
TOTAL	call	i32	ptr,ptr,ptr,ptr,i32,ptr	21	0.001114
TOTAL	call	ptr	ptr,float,ptr,ptr,ptr	21	0.001114
TOTAL	call	ptr	ptr,i16,ptr	21	0.001114
TOTAL	call	ptr	ptr,i8,ptr,i8,i32,i32,i32,ptr,ptr,ptr	21	0.001114
TOTAL	call	void	ptr,i32,i32,i32,ptr,ptr	21	0.001114
TOTAL	call	void	ptr,i32,i32,ptr,i1,ptr	21	0.001114
TOTAL	call	void	i32,ptr,i32,ptr	20	0.001061
TOTAL	call	void	ptr,float,ptr,ptr	20	0.001061
TOTAL	invoke	void	ptr,ptr,i1,label,label,ptr	20	0.001061
TOTAL	phi	i1	i1,i1,i1,i1,i1,i1	20	0.001061
TOTAL	call	double	ptr	19	0.001008
TOTAL	call	float	ptr,i32,ptr	19	0.001008
TOTAL	call	i16	ptr,ptr,ptr,i32,i32,ptr	19	0.001008
TOTAL	call	i32	i32,i32,ptr,ptr	19	0.001008
TOTAL	call	i32	i32,ptr,i64,ptr	19	0.001008
TOTAL	call	i32	ptr,ptr,ptr,i32,ptr,ptr	19	0.001008
TOTAL	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr	19	0.001008
TOTAL	call	void	i32,i32,ptr,ptr,ptr	19	0.001008
TOTAL	invoke	i1	i32,label,label,ptr	19	0.001008
TOTAL	switch	void	i32,label,label,label,label,label,label,label,label,label	19	0.001008
TOTAL	call	i16	ptr,ptr,ptr	18	0.000955
TOTAL	call	i32	ptr,ptr,i32,ptr,ptr,ptr	18	0.000955
TOTAL	call	ptr	i32,ptr,ptr,i32,ptr	18	0.000955
TOTAL	call	ptr	ptr,i32,i32,i32,ptr	18	0.000955
TOTAL	call	void	metadata,ptr	18	0.000955
TOTAL	call	void	ptr,i64,i64,ptr,ptr	18	0.000955
TOTAL	call	void	ptr,ptr,ptr,ptr,i32,i32,i1,ptr	18	0.000955
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	18	0.000955
TOTAL	invoke	i32	ptr,i32,i32,label,label,ptr	18	0.000955
TOTAL	phi	i1	i1,i1,i1,i1,i1	18	0.000955
TOTAL	call	i32	ptr,ptr,i32,i8,ptr,ptr	17	0.000902
TOTAL	call	ptr	ptr,ptr,ptr,ptr,i1,ptr	17	0.000902
TOTAL	call	void	ptr,i32,ptr,i16,ptr	17	0.000902
TOTAL	call	void	ptr,ptr,i64,i32,ptr	17	0.000902
TOTAL	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	17	0.000902
TOTAL	invoke	i1	ptr,ptr,ptr,label,label,ptr	17	0.000902
TOTAL	invoke	ptr	label,label,ptr	17	0.000902
TOTAL	ashr	i64	i64,i64	16	0.000849
TOTAL	call	double	double,double,i64,ptr	16	0.000849
TOTAL	call	i1	ptr,i32,ptr,ptr	16	0.000849
TOTAL	call	i32	ptr,i32,i8,ptr	16	0.000849
TOTAL	call	i32	ptr,ptr,double,double,double,ptr	16	0.000849
TOTAL	call	i8	i8,ptr	16	0.000849
TOTAL	call	ptr	i8,ptr,i8,i8,i8,ptr,ptr	16	0.000849
TOTAL	call	void	ptr,ptr,float,float,float,ptr	16	0.000849
TOTAL	invoke	i32	ptr,ptr,ptr,ptr,label,label,ptr	16	0.000849
TOTAL	call	float	ptr,ptr,i32,ptr	15	0.000796
TOTAL	call	i32	ptr,ptr,i32,i32,ptr,ptr,ptr	15	0.000796
TOTAL	call	i32	ptr,ptr,i32,i32,ptr,ptr,ptr,ptr,ptr	15	0.000796
