workload	kind	callee	calling_conv	is_vararg	is_tail	is_musttail	can_lower_return	features	return_type	arg_types	split_arg_types	count	share_percent
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	452	0.272352
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i64	ptr{pointer},i64	442	0.266326
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},i32{vararg}	ptr{pointer},i32{vararg}	441	0.265723
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	437	0.263313
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	412	0.248250
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i64	ptr{pointer},ptr{pointer},i64	406	0.244634
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	388	0.233788
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},i64	ptr{pointer},i64	386	0.232583
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,i32,i32	ptr{pointer},i32,i32,i32	386	0.232583
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	366	0.220532
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	366	0.220532
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	346	0.208481
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	335	0.201853
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,ptr{pointer}	i32,ptr{pointer}	312	0.187995
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i64,i64	i64,i64	303	0.182572
TOTAL	invoke	indirect	0	0	0	0	1	-	i32	ptr{pointer}	ptr{pointer}	303	0.182572
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg}	302	0.181969
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i64	ptr{pointer},ptr{pointer},i64	299	0.180162
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	291	0.175341
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer,vararg}	ptr{pointer},ptr{pointer,vararg}	282	0.169918
TOTAL	invoke	direct	0	0	0	0	1	-	i1	ptr{pointer}	ptr{pointer}	278	0.167508
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i32,i32	i32,i32	275	0.165701
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32{vararg}	ptr{pointer},ptr{pointer},i32{vararg}	254	0.153047
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	250	0.150637
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	246	0.148227
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,ptr{pointer},i32	i32,ptr{pointer},i32	245	0.147624
