workload	kind	callee	calling_conv	is_vararg	is_tail	is_musttail	can_lower_return	features	return_type	arg_types	split_arg_types	count	share_percent
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i1	ptr{pointer},ptr{pointer},i1	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32,i32,i32	ptr{pointer},ptr{pointer},i32,i32,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},i8,i32	ptr{pointer},ptr{pointer},ptr{pointer},i8,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	i8	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i8	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i8	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	i16,i32,i32,i32,i32	i16,i32,i32,i32,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},float,float,float,float,float	ptr{pointer},float,float,float,float,float	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},float,i32	ptr{pointer},float,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i16,ptr{pointer},ptr{pointer}	ptr{pointer},i16,ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i8	ptr{pointer},i32,i8	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i64,i32,ptr{pointer}	ptr{pointer},i64,i32,ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer},i32,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i8,i8	ptr{pointer},ptr{pointer},i8,i8	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},float,ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},float,ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},float,float,float,float,ptr{pointer},i1,float	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},float,float,float,float,ptr{pointer},i1,float	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},i1	ptr{pointer,sret},ptr{pointer},i1	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},i64,i64	ptr{pointer,sret},ptr{pointer},i64,i64	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	i32	i32,i32,i32{vararg}	i32,i32,i32{vararg}	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},i32{vararg},i32{vararg},i32{vararg},i32{vararg},double{vararg},double{vararg},double{vararg},i32{vararg},i32{vararg},ptr{pointer,vararg},i32{vararg},i32{vararg},i32{vararg},i32{vararg},i32{vararg}	ptr{pointer},i32{vararg},i32{vararg},i32{vararg},i32{vararg},double{vararg},double{vararg},double{vararg},i32{vararg},i32{vararg},ptr{pointer,vararg},i32{vararg},i32{vararg},i32{vararg},i32{vararg},i32{vararg}	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer,vararg},i32{vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},i32{vararg},ptr{pointer,vararg}	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,ptr{pointer},ptr{pointer},double{vararg}	i32,ptr{pointer},ptr{pointer},double{vararg}	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	5	0.003013
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	5	0.003013
TOTAL	call	indirect	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer},i32,ptr{pointer}	5	0.003013
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	i64	i64	5	0.003013
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},float	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},float	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},i32	ptr{pointer},i32	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer},i32,ptr{pointer}	ptr{pointer},ptr{pointer},i32,ptr{pointer}	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i32	i32	i32	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i32	i64,ptr{pointer},i1	i64,ptr{pointer},i1	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},[2 x i64]	ptr{pointer},i64{consecutive},i64{consecutive,consecutive-last}	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},i1,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i1,ptr{pointer},ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	i64	ptr{pointer},i32	ptr{pointer},i32	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},float	ptr{pointer},ptr{pointer},float	5	0.003013
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	invoke	indirect	0	0	0	0	1	-	i1	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	5	0.003013
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},ptr{pointer},float	ptr{pointer},ptr{pointer},float	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	double	double,double,double	double,double,double	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	double	i32	i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	double	ptr{pointer},i32,ptr{pointer},i32	ptr{pointer},i32,ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},float,float,float,float,float	ptr{pointer},float,float,float,float,float	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},float,ptr{pointer},i32,i32	ptr{pointer},float,ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i1	double	double	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},i1,ptr{pointer},i1	ptr{pointer},i1,ptr{pointer},i1	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},i64,i32,ptr{pointer}	ptr{pointer},i64,i32,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i1	ptr{pointer},i8	ptr{pointer},i8	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	double,ptr{pointer}	double,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	i16,i16	i16,i16	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32,i32,i32,i32,i32,i32	i32,i32,i32,i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32,i32,i32,i32	i32,i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},[2 x i64]	ptr{pointer},i64{consecutive},i64{consecutive,consecutive-last}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i16,i32,i32,i32,i32,i16,i16,ptr{pointer},ptr{pointer},i32,i32,i32	ptr{pointer},i16,i32,i32,i32,i32,i16,i16,ptr{pointer},ptr{pointer},i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},i32,ptr{pointer},i8	ptr{pointer},i32,ptr{pointer},i32,ptr{pointer},i8	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},ptr{pointer},i32	ptr{pointer},i32,ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32,i16,i32,i32,i16,i16	ptr{pointer},ptr{pointer},i32,i16,i32,i32,i16,i16	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32,i32,i32,ptr{pointer}	ptr{pointer},ptr{pointer},i32,i32,i32,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},i16,i32	ptr{pointer},ptr{pointer},ptr{pointer},i16,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i64	ptr{pointer},i64,ptr{pointer},ptr{pointer}	ptr{pointer},i64,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i8	ptr{pointer},i8	ptr{pointer},i8	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	i8	ptr{pointer},ptr{pointer},i8	ptr{pointer},ptr{pointer},i8	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32,ptr{pointer},i32,i32,i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,i32,ptr{pointer},i32,i32,i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i64	ptr{pointer},i32,i64	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},i32,i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	double,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},double,i1,i1	double,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},double,i1,i1	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	i32,i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i32,i32	i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,i8,i32,i32,i32,i32,i32	i32,i8,i32,i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,ptr{pointer},ptr{pointer},i32	i32,ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32	i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	i64	i64	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i1,ptr{pointer}	ptr{pointer},i1,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i1,i64	ptr{pointer},i32,i1,i64	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32,float,ptr{pointer}	ptr{pointer},i32,i32,float,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32,i32,i32,i32,i32,i32,i32,i32,i32	ptr{pointer},i32,i32,i32,i32,i32,i32,i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer},i64	ptr{pointer},i32,ptr{pointer},i64	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i64,i32	ptr{pointer},i64,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},double,ptr{pointer}	ptr{pointer},ptr{pointer},double,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},float,ptr{pointer},i32	ptr{pointer},ptr{pointer},float,ptr{pointer},i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},float,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},float,ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,i1	ptr{pointer},ptr{pointer},i32,i1	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,i32,i32,i32,i32,i32,i32	ptr{pointer},ptr{pointer},i32,i32,i32,i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32,i32,i32,i32	ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32,i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i1	ptr{pointer},ptr{pointer},ptr{pointer},i1	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},i32,i32,i32	ptr{pointer,sret},i32,i32,i32	4	0.002410
TOTAL	call	direct	0	0	1	0	1	-	i32	ptr{pointer},i32,i32	ptr{pointer},i32,i32	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32{vararg},i32{vararg},i32{vararg},i32{vararg}	ptr{pointer},ptr{pointer},i32{vararg},i32{vararg},i32{vararg},i32{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,ptr{pointer},ptr{pointer},i32{vararg},ptr{pointer,vararg}	i32,ptr{pointer},ptr{pointer},i32{vararg},ptr{pointer,vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	ptr{pointer}	i32,ptr{pointer},ptr{pointer},i64{vararg}	i32,ptr{pointer},ptr{pointer},i64{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},i32{vararg},i32{vararg},i64{vararg}	ptr{pointer},i32{vararg},i32{vararg},i64{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},i64{vararg},i32{vararg}	ptr{pointer},i64{vararg},i32{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer,vararg},i64{vararg}	ptr{pointer},ptr{pointer,vararg},i64{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},i32{vararg}	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},i32{vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg},ptr{pointer,vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer},i32{vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},i32{vararg},ptr{pointer,vararg}	4	0.002410
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i32{vararg},i32{vararg},i32{vararg}	ptr{pointer},ptr{pointer},ptr{pointer},i32{vararg},i32{vararg},i32{vararg}	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	float	ptr{pointer},ptr{pointer},i1	ptr{pointer},ptr{pointer},i1	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},i64,i64	ptr{pointer},i64,i64	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},i16,i16,ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32,ptr{pointer},i16,i16,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	void	i32,i32	i32,i32	4	0.002410
TOTAL	call	indirect	0	0	0	0	1	-	void	ptr{pointer},float,float	ptr{pointer},float,float	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32,ptr{pointer}	ptr{pointer},ptr{pointer},i32,ptr{pointer}	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i64	-	-	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i64	ptr{pointer},i32,i32	ptr{pointer},i32,i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	i64	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32,i32	ptr{pointer},i32,i32,i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	void	i32,i32,ptr{pointer},ptr{pointer}	i32,i32,ptr{pointer},ptr{pointer}	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	void	i64,ptr{pointer},i32	i64,ptr{pointer},i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},i32,i32,i32	ptr{pointer},i32,i32,i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i1,i32,i32	ptr{pointer},ptr{pointer},i1,i32,i32	4	0.002410
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i1,i32	ptr{pointer},ptr{pointer},i1,i32	4	0.002410
TOTAL	invoke	direct	0	1	0	0	1	-	i32	ptr{pointer},i32{vararg}	ptr{pointer},i32{vararg}	4	0.002410
TOTAL	invoke	indirect	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer}	ptr{pointer},i32,ptr{pointer}	4	0.002410
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},i32	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	[2 x i64]	float	float	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	double	ptr{pointer},i32,i32	ptr{pointer},i32,i32	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	float	-	-	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	float	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,i32,i32,i32,ptr{pointer},ptr{pointer},i32,ptr{pointer}	i32,i32,ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,i32,i32,i32,ptr{pointer},ptr{pointer},i32,ptr{pointer}	3	0.001808
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},i32	ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},i32	3	0.001808
